epoch,avg training loss,avg validation loss,avg training mae,avg validation mae
293,tensor(0.0047),0.04694046233762563,tensor(0.0561),tensor(0.1813)
294,tensor(0.0043),0.043052413076858115,tensor(0.0546),tensor(0.1739)
295,tensor(0.0037),0.04559952412018052,tensor(0.0513),tensor(0.1801)
296,tensor(0.0061),0.04146053318789497,tensor(0.0641),tensor(0.1702)
297,tensor(0.0082),0.0464585378824041,tensor(0.0720),tensor(0.1820)
298,tensor(0.0151),0.051326270689934145,tensor(0.1027),tensor(0.1929)
299,tensor(0.0111),0.03863502760573584,tensor(0.0904),tensor(0.1619)
300,tensor(0.0271),0.06139868129668069,tensor(0.1348),tensor(0.2164)
301,tensor(0.0109),0.04136968592493451,tensor(0.0840),tensor(0.1708)
302,tensor(0.0138),0.04761308385240429,tensor(0.0999),tensor(0.1854)
303,tensor(0.0114),0.04387001552644407,tensor(0.0840),tensor(0.1762)
304,tensor(0.0133),0.043330523855839256,tensor(0.0924),tensor(0.1742)
305,tensor(0.0203),0.051591815506669796,tensor(0.1090),tensor(0.1956)
306,tensor(0.0230),0.053333561302159084,tensor(0.1162),tensor(0.1951)
307,tensor(0.0124),0.04365465555209594,tensor(0.0910),tensor(0.1750)
308,tensor(0.0080),0.05300251407556033,tensor(0.0739),tensor(0.1953)
309,tensor(0.0107),0.04055898308985892,tensor(0.0882),tensor(0.1693)
310,tensor(0.0104),0.06743441147418106,tensor(0.0888),tensor(0.2251)
311,tensor(0.0048),0.04231136221192226,tensor(0.0589),tensor(0.1722)
312,tensor(0.0076),0.047914777067036944,tensor(0.0698),tensor(0.1837)
313,tensor(0.0061),0.041433594932468024,tensor(0.0647),tensor(0.1686)
314,tensor(0.0042),0.04753370287353426,tensor(0.0539),tensor(0.1836)
315,tensor(0.0061),0.039345133527823456,tensor(0.0653),tensor(0.1671)
316,tensor(0.0068),0.04682575480773291,tensor(0.0658),tensor(0.1844)
317,tensor(0.0053),0.04099213976978328,tensor(0.0585),tensor(0.1687)
318,tensor(0.0038),0.04518376248761838,tensor(0.0505),tensor(0.1782)
319,tensor(0.0035),0.046101734911885246,tensor(0.0490),tensor(0.1809)
320,tensor(0.0055),0.0483202702050543,tensor(0.0619),tensor(0.1870)
321,tensor(0.0050),0.0449431282450021,tensor(0.0592),tensor(0.1807)
322,tensor(0.0067),0.04291232272344805,tensor(0.0679),tensor(0.1771)
323,tensor(0.0051),0.053386687275732536,tensor(0.0605),tensor(0.1983)
324,tensor(0.0044),0.04232861379936975,tensor(0.0556),tensor(0.1752)
325,tensor(0.0050),0.055995274900462376,tensor(0.0602),tensor(0.2032)
326,tensor(0.0060),0.045822600040454346,tensor(0.0664),tensor(0.1806)
327,tensor(0.0062),0.040441837183522344,tensor(0.0670),tensor(0.1679)
328,tensor(0.0073),0.06767209627980852,tensor(0.0737),tensor(0.2251)
329,tensor(0.0111),0.03967679425320273,tensor(0.0860),tensor(0.1666)
330,tensor(0.0057),0.0610445909607967,tensor(0.0638),tensor(0.2128)
331,tensor(0.0061),0.039424369104409496,tensor(0.0678),tensor(0.1659)
332,tensor(0.0044),0.048454352998779905,tensor(0.0553),tensor(0.1853)
333,tensor(0.0100),0.04557254136420409,tensor(0.0846),tensor(0.1795)
334,tensor(0.0071),0.03977868712510812,tensor(0.0701),tensor(0.1660)
335,tensor(0.0069),0.050386101442320336,tensor(0.0719),tensor(0.1918)
336,tensor(0.0095),0.03822465662768379,tensor(0.0775),tensor(0.1629)
337,tensor(0.0115),0.047188470567710666,tensor(0.0888),tensor(0.1825)
